codigo_reg,localidade,idade,perc,sexo
15,Maringá,15-19,3.15,f
15,Maringá,20-24,3.51,f
15,Maringá,25-29,3.82,f
15,Maringá,30-34,4.1,f
15,Maringá,35-39,3.93,f
15,Maringá,40-44,3.69,f
15,Maringá,45-49,3.52,f
15,Maringá,50-54,3.56,f
15,Maringá,55-59,3.35,f
15,Maringá,60-64,2.9,f
15,Maringá,65-69,2.37,f
15,Maringá,70-74,1.79,f
15,Maringá,75-79,1.25,f
15,Maringá,80+,1.47,f
19,Jacarezinho,0-4,3.26,f
19,Jacarezinho,5-9,3.22,f
19,Jacarezinho,10-14,3.0,f
19,Jacarezinho,15-19,3.06,f
19,Jacarezinho,20-24,3.54,f
19,Jacarezinho,25-29,3.78,f
19,Jacarezinho,30-34,3.77,f
19,Jacarezinho,35-39,3.68,f
19,Jacarezinho,40-44,3.57,f
19,Jacarezinho,45-49,3.43,f
19,Jacarezinho,50-54,3.41,f
19,Jacarezinho,55-59,3.27,f
19,Jacarezinho,60-64,2.77,f
19,Jacarezinho,65-69,2.24,f
19,Jacarezinho,70-74,1.7,f
19,Jacarezinho,75-79,1.18,f
19,Jacarezinho,80+,1.41,f
11,Campo Mourão,0-4,2.95,f
11,Campo Mourão,5-9,2.99,f
11,Campo Mourão,10-14,2.81,f
11,Campo Mourão,15-19,2.94,f
11,Campo Mourão,20-24,3.43,f
11,Campo Mourão,25-29,3.86,f
11,Campo Mourão,30-34,3.76,f
11,Campo Mourão,35-39,3.64,f
11,Campo Mourão,40-44,3.54,f
11,Campo Mourão,45-49,3.63,f
11,Campo Mourão,50-54,3.76,f
11,Campo Mourão,55-59,3.51,f
11,Campo Mourão,60-64,2.94,f
11,Campo Mourão,65-69,2.37,f
11,Campo Mourão,70-74,1.77,f
11,Campo Mourão,75-79,1.27,f
11,Campo Mourão,80+,1.66,f
9,Foz do Iguaçu,0-4,3.46,f
9,Foz do Iguaçu,5-9,3.43,f
9,Foz do Iguaçu,10-14,3.25,f
9,Foz do Iguaçu,15-19,3.35,f
9,Foz do Iguaçu,20-24,3.87,f
9,Foz do Iguaçu,25-29,4.12,f
9,Foz do Iguaçu,30-34,3.9,f
